,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
263,ei tiedossa,2014,tyydyttävä,1170.00,Yksiö,86110,1 303 €/kk,26 m²,rivitalo
264,ei tiedossa,2014,tyydyttävä,1170.00,Yksiö,86110,1 005 €/kk,"11,5 m²",rivitalo
265,ei tiedossa,2015,hyvä,1170.00,Yksiö,02650,1 502 €/kk,15 m²,kerrostalo
266,ei tiedossa,1984,tyydyttävä,1170.00,Yksiö,01530,1 164 €/kk,15 m²,kerrostalo
267,ei tiedossa,2003,hyvä,1170.00,4 huonetta,01520,2 881 €/kk,90 m²,kerrostalo
268,ei tiedossa,1984,tyydyttävä,1170.00,Yksiö,01530,1 401 €/kk,15 m²,kerrostalo
269,ei tiedossa,2015,hyvä,1170.00,3 huonetta,90400,2 167 €/kk,59 m²,kerrostalo
270,ei tiedossa,1993,hyvä,1170.00,3 huonetta,00180,3 387 €/kk,70 m²,kerrostalo
271,ei tiedossa,1993,hyvä,1170.00,Yksiö,15110,1 745 €/kk,20 m²,kerrostalo
272,ei sallittu,1981,hyvä,1170.00,4 huonetta,00240,1 560 €/kk,"95,5 m²",kerrostalo
273,ei sallittu,2000,hyvä,1170.00,Kaksio,00500,1 090 €/kk,42 m²,kerrostalo
274,ei sallittu,1990,hyvä,250 €,3 huonetta,40620,738 €/kk,60 m²,kerrostalo
275,ei sallittu,2013,hyvä,1kk,3 huonetta,96460,1 000 €/kk,72 m²,rivitalo
276,ei sallittu,1974,hyvä,520€,Kaksio,95420,520 €/kk,57 m²,kerrostalo
277,ei sallittu,1965,hyvä,520€,Yksiö,00920,750 €/kk,"27,5 m²",kerrostalo
278,ei sallittu,2012,hyvä,520€,3 huonetta,00990,1 259 €/kk,66 m²,kerrostalo
279,ei tiedossa,1996,hyvä,"0,00 ",4 huonetta,04300,0 €/kk,90 m²,rivitalo
280,ei tiedossa,2007,hyvä,890,Kaksio,02320,890 €/kk,"51,5 m²",kerrostalo
281,ei tiedossa,1984,hyvä,690.00,Kaksio,90650,690 €/kk,60 m²,rivitalo
282,ei tiedossa,2006,hyvä,2100.00,3 huonetta,02320,1 050 €/kk,"69,5 m²",kerrostalo
283,ei tiedossa,1961,hyvä,1468.00,Yksiö,00120,734 €/kk,24 m²,kerrostalo
284,ei tiedossa,1928,hyvä,1430.00,Yksiö,00510,715 €/kk,25 m²,kerrostalo
285,ei sallittu,1928,tyydyttävä,1500 €,Yksiö,00150,750 €/kk,28 m²,kerrostalo
