POSTI_ALUE,NIMI,KUNTA
17530,Arrakoski,576
17610,Auttoinen,576
17630,Vesijako,576
17710,Torittu,576
17740,Kasiniemi-Torittu,576
17780,Harmoinen,291
17800,Kuhmoinen Keskus,291
17840,Harjunsalmi,291
17850,Pihlajakoski,291
17870,Ruolahti,291
17930,Päijälä,291
17950,Kylämä,291
17970,Puukkoinen,291
18100,Heinola Keskus,111
18120,Reumasairaala-alue,111
18130,Tommola-Sahanniemi,111
18150,Jyränkö,111
18200,Kaakonlampi-Pyhätön,111
18300,Heinola kk,111
18600,Myllyoja,111
19110,Vierumäki taajama,111
19120,Vierumäki urheiluopisto,111
19160,Huutotöyry,142
19210,Lusi,111
19230,Onkiniemi,781
19250,Syrjäkoski,111
19260,Paaso-Syrjäkoski,111
19310,Karilanmaa,781
19320,Nikkaroinen,781
19370,Nuoramoinen,781
19410,Kuortti,588
19420,Mansikkamäki,588
19430,Pertunmaa Keskus,588
19460,Ruorasmäki,588
19470,Lihavanpää-Hartosenpää,588
19480,Hartosenpää,588
19510,Lepsala,81
19540,Koitti-Lepsala,81
19600,Hartola Keskus,81
19610,Murakka,81
19620,Pohela,81
19630,Kalhonkylä,81
19650,Joutsa Keskus,172
19670,Mieskonmäki,172
19700,Sysmä Keskus,781
19730,Särkilampi,781
19740,Liikola,781
19770,Valittula,781
19850,Putkijärvi-Siltasuo,81
19910,Tammijärvi,435
19920,Pappinen,172
19950,Luhanka,435
,,
20100,Turku Keskus,853
20200,Iso-Heikkilä,853
20210,Pahaniemi,853
20240,Pansio-Perno,853
20250,Pitkämäki-Muhkuri,853
20300,Pohjola-Kastu,853
20320,Kuninkoja-Mälikkälä,853
20360,Kärsämäki-Urusvuori-Halinen,853
20380,Räntämäki-Saramäki,853
20400,Moisio,853
20460,Jäkärlä,853
20500,Vesilinna,853
20520,Kupittaa,853
20540,Nummi-Ylioppilaskylä,853
20610,Varissuo,853
20660,Littoinen,202
20700,Vartiovuori-Samppalinna,853
20720,Vasaramäki,853
20730,Skanssi,853
20740,Ilpoinen-Harittu,853
20750,Huhkola-Lauste-Vaala,853
20760,Piispanristi,202
20780,Kaarina Keskus,202
20800,Ammattikorkeakoulu,853
20810,Martti-Korppolaismäki,853
20880,Uittamo,853
,,
20900,Moikoinen-Pikisaari,853
,,
,,
20960,Kakskerta,853
,,
,,
21100,Naantali Keskus,529
21110,Taimo-Nuhjala-Lietsala,529
21120,Viherjäinen,680
,,
21130,Poikko,529
,,
,,
,,
21140,Rymättylä Keskus,529
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21150,Röölä,529
,,
,,
,,
,,
21160,Merimasku,529
,,
21180,Livonsaari,529
,,
,,
,,
,,
,,
21195,Velkua,529
21200,Raisio Keskus,680
21210,Hakinmäki,680
21220,Somersoja,680
21230,Lemu,481
,,
21240,Askainen Keskus,481
,,
21250,Masku,481
21260,Ihala,680
21270,Nousiainen,538
21280,Kuloinen,680
21290,Rusko,704
21310,Vahto,704
21330,Paattinen,853
21340,Tortinmäki,853
21350,Ilmarinen,423
21360,Lieto Asemanseutu,423
21370,Aura kk.,19
21380,Aura Keskus,19
21410,Vanhalinna,423
21420,Lieto Keskus,423
21430,Yliskulma,423
21450,Tarvasjoki Keskus,423
21480,Prunkila,480
21490,Marttila,480
,,
21500,Piikkiö,202
21510,Hevonpää,577
21520,Naskarla,577
21530,Paimio Keskus,577
21540,Preitilä,577
21555,Taatila,577
21560,Ollila,480
,,
21570,Sauvo Keskus,738
,,
,,
,,
21590,Karuna,738
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21600,Parainen Keskus,445
,,
21610,Kirjala,445
,,
21620,Kuusisto,202
,,
,,
,,
21630,Lielahti,445
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21650,Lillandet,445
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21660,Nauvo Keskus,445
,,
,,
,,
,,
21670,Mattnäs-Nötö,445
,,
,,
,,
21680,Nötö,445
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21710,Korppoo Keskus-Utö,445
21720,Korpoström,445
21740,Utö,445
,,
,,
,,
,,
,,
,,
,,
21750,Norrskata,445
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21760,Houtskär Keskus,445
,,
,,
,,
21770,Mossala,445
21800,Kyrö,636
21820,Kumila,636
21840,Karinainen,636
21860,Auvainen,636
21870,Riihikoski,636
21880,Pöytyä,636
21890,Haveri,636
21900,Yläne Keskus,636
21930,Uusikartano,636
,,
22100,Maarianhamina,478
22120,Möckelö,170
,,
22130,Gottby,170
22140,Önningby,170
22150,Jomala Centrum,170
,,
,,
,,
22160,Järsö,417
,,
22220,Emkarby,60
,,
,,
,,
,,
,,
22240,Hammarland,76
,,
,,
,,
,,
,,
22270,Storby,43
,,
22310,Pålsböle,60
,,
,,
22320,Ödkarby,736
,,
22330,Tjudö,60
,,
,,
,,
,,
,,
,,
,,
22340,Geta,65
22410,Godby,60
,,
,,
,,
,,
,,
22430,Saltvik,736
,,
22520,Tosarby,771
,,
,,
22530,Sund,771
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
22550,Vårdö,941
,,
,,
,,
,,
,,
22610,Lemland,417
,,
,,
,,
22630,Lumparland,438
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
22710,Ålands Degerby,62
,,
,,
22720,Sottunga,766
,,
,,
,,
,,
,,
,,
22730,Kökar,318
,,
22810,Seglinge,295
,,
,,
,,
,,
,,
22820,Kumlinge,295
,,
22830,Enklinge,295
,,
,,
,,
22840,Lappo,35
,,
22910,Torsholma,35
,,
,,
,,
,,
22920,Brändö-Åland,35
,,
,,
22930,Fiskö,35
,,
22940,Åva,35
,,
22950,Jurmo,35
23100,Mynämäki Keskus,503
23120,Mietoinen Keskus,503
23140,Hietamäki,503
23200,Vinkkilä,918
23210,Vehmaa,918
23260,Rautila,918
,,
,,
,,
,,
,,
,,
,,
,,
23310,Taivassalo,833
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23360,Kustavi,304
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23390,Iniö,445
,,
,,
,,
,,
,,
,,
23450,Lokalahti,895
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23500,Uusikaupunki Keskus,895
23600,Kalanti Keskus,895
23660,Kalanti Asemanseutu,895
23800,Laitila Keskus,400
23840,Soukainen,400
23880,Suontaka,400
,,
,,
,,
,,
,,
,,
23930,Pyhämaa,895
23950,Pyhäranta,631
23960,Santtio,631
24100,Salo Keskus,734
24130,Ylhäisi,734
24240,Rappula,734
24260,Ollikkala,734
24280,Tupuri-Hähkänä,734
24800,Halikko Keskus,734
24910,Halikko Asemanseutu,734
25110,Kruusila,734
25130,Muurla,734
25160,Tuohittu,734
25170,Kotalato,734
25180,Romsila,734
25190,Inkere,734
25210,Vartsala,734
,,
25230,Angelniemi,734
25240,Hajala,734
25250,Märynummi,734
25260,Vaskio,734
25320,Raatala,734
25330,Kuusjoki Keskus,734
25340,Kanunki,734
25360,Pertteli Keskus,734
25370,Hiisi,734
25380,Rekijoki,734
25390,Kiikala Keskus,734
25410,Suomusjärvi Keskus,734
25420,Lahnajärvi,734
25430,Kettula,734
25460,Toija,734
25470,Kisko kk,734
,,
25500,Perniö Keskus,734
25520,Perniö Asemanseutu,734
25540,Knaapila,734
25550,Aijala,734
25560,Koski Asemanseutu,734
25570,Teijo-Mathildedal,734
25610,Ylönkylä,734
,,
25630,Finby,734
,,
,,
,,
25640,Förby,734
25650,Strömma,322
25660,Mathildedal,734
,,
,,
,,
25700,Kemiö Keskus,322
25710,Vreta-Vestlax,322
,,
25730,Mjösund,322
,,
25760,Kiila,322
25810,Mark,322
25820,Vestlax,322
,,
,,
,,
,,
25830,Västanfjärd Keskus,322
25840,Nivelax,322
25860,Björkboda,322
,,
,,
,,
25870,Dragsfjärd,322
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
25900,Taalintehdas,322
25910,Vänoxa,322
,,
,,
25930,Kasnäs,322
,,
,,
,,
,,
25940,Hiittinen,322
,,
,,
,,
,,
,,
,,
25950,Rosala-Kasnäs-Hitis,322
,,
,,
,,
25960,Högsåra,322
,,
,,
26100,Rauma Keskus,684
,,
26200,Merirauma-Kappelinluhta,684
,,
,,
26410,Kaaro,684
26510,Uotila,684
26560,Kolla,684
26660,Paroalho,684
26720,Monnanummi,684
26740,Vasarainen,684
26820,Sampaanala,684
26840,Kortela,684
26910,Unaja,684
26930,Vermuntila,684
,,
26950,Voiluoto,684
27100,Eurajoki Keskus,51
27110,Irjanne,51
27130,Eurajoki asemanseutu,51
,,
27150,Lapijoki,51
27160,Olkiluoto,51
,,
27170,Kuivalahti,51
27220,Ala-Kieri,684
27230,Lappi,684
27250,Kodiksami,684
